Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,eva_large_patch14_196.in22k_ft_in1k,196,87.956,2,3,62.66973041,51052262.23,5676409.304,304.14,304142312,421551080,304142312,41780485480,166224848,TRUE
TBD,TBD,eva_large_patch14_196.in22k_ft_in22k_in1k,196,88.596,2,3,61.5557795,51941793.06,5756243.716,304.14,304142312,421551080,304142312,41780485480,166224848,TRUE
TBD,TBD,eva_large_patch14_336.in22k_ft_in1k,336,88.69,1,1,18.09713129,58539652.87,19429385.98,304.53,304531432,650742760,304531432,1.33E+11,486859728,TRUE
TBD,TBD,eva_large_patch14_336.in22k_ft_in22k_in1k,336,89.25,1,1,18.26097904,58361128.72,19387166.43,304.53,304531432,650742760,304531432,1.33E+11,486859728,TRUE
TBD,TBD,eva02_base_patch14_448.mim_in22k_ft_in1k,448,88.266,2,2,29.17654168,72603215.63,12063145.41,87.12,87117544,549085672,87117544,87635356648,271585232,TRUE
TBD,TBD,eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,448,88.682,2,2,28.83342541,73027192.34,12135283.31,87.12,87117544,549085672,87117544,87635356648,271585232,TRUE
TBD,TBD,eva02_large_patch14_448.mim_in22k_ft_in1k,448,89.632,,,,,,305.08,305080232,921037736,305080232,3.10E+11,718894976,
TBD,TBD,eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,448,89.966,2,2,11.42517287,176703460.7,29639937.27,305.08,305080232,921037736,305080232,3.10E+11,718894976,TRUE
TBD,TBD,eva02_large_patch14_448.mim_m38m_ft_in1k,448,89.554,2,2,11.80132475,170386621,28551459.21,305.08,305080232,921037736,305080232,3.10E+11,718894976,TRUE
TBD,TBD,eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,448,90.054,2,2,10.69972132,188357470.8,31560548.35,305.08,305080232,921037736,305080232,3.10E+11,718894976,TRUE
TBD,TBD,eva02_small_patch14_336.mim_in22k_ft_in1k,336,85.76,32,20,221.6490801,92023870.3,1531697.918,22.13,22129000,146640616,22129000,9346118632,68466128,TRUE
TBD,TBD,eva02_tiny_patch14_336.mim_in22k_ft_in1k,336,80.672,66,66,492.7972768,135983398.6,691516.6232,5.76,5756584,69339496,5756584,2375842792,34234064,TRUE
TBD,TBD,fastvit_ma36.apple_dist_in1k,256,84.606,22,22,277.4013751,80522736.25,1216403.179,44.07,44068004,7259154300,44068004,7876802956,221187332,TRUE
TBD,TBD,fastvit_ma36.apple_in1k,256,83.884,22,22,262.7678919,86190901.89,1289180.522,44.07,44068004,7259154300,44068004,7876802956,221187332,TRUE
TBD,TBD,fastvit_s12.apple_dist_in1k,256,81.074,66,64,942.6300028,69128188.75,354256.5591,9.47,9473576,1806622120,9473576,1826400424,81307744,TRUE
TBD,TBD,fastvit_s12.apple_in1k,256,79.92,66,40,882.3866607,46434225.45,378271.6329,9.47,9473576,1806622120,9473576,1826400424,81307744,TRUE
TBD,TBD,fastvit_sa12.apple_dist_in1k,256,81.842,34,34,809.194545,43806728.98,415058.2708,11.58,11580968,1809701288,11580968,1961535656,80619616,TRUE
TBD,TBD,fastvit_sa12.apple_in1k,256,80.84,32,32,788.9183086,42229768.17,424941.9339,11.58,11580968,1809701288,11580968,1961535656,80619616,TRUE
TBD,TBD,fastvit_sa24.apple_dist_in1k,256,83.362,20,14,442.4730634,33214399.78,768381.958,21.55,21554216,3501458344,21554216,3800279208,133441632,TRUE
TBD,TBD,fastvit_sa24.apple_in1k,256,82.706,20,34,499.1820617,69900066.72,678772.6261,21.55,21554216,3501458344,21554216,3800279208,133441632,TRUE
TBD,TBD,fastvit_sa36.apple_dist_in1k,256,84.032,26,24,340.732221,72002866.56,984857.065,31.53,31527464,5193215400,31527464,5639022760,186263648,TRUE
TBD,TBD,fastvit_sa36.apple_in1k,256,83.504,26,22,336.8739635,66988838.75,997607.4321,31.53,31527464,5193215400,31527464,5639022760,186263648,TRUE
