Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,coat_lite_small,224,82.304,8,8,4.8272822,207091728.9,665415.9699,19.83748,19837480,420259624,19838504,4149079464,57014480,TRUE
TBD,TBD,levit_128s,224,76.52,8,8,62.204492,16072042.95,53024.44219,7.771744,7771744,58232752,7777058,282872272,5310152,TRUE
TBD,TBD,efficientnet_es,224,76.608,8,8,16.09031285,62134915.72,99503.49626,5.386952,5386952,1788732008,5438392,1804549992,42018832,TRUE
TBD,TBD,efficientnet_em,240,78.128,8,8,12.792351,78147411.54,164696.9132,6.831688,6831688,2613274216,6899496,2635514728,60295440,TRUE
TBD,TBD,efficientnet_el,300,80.246,8,8,8.8171765,113389392.2,244576.3488,10.497504,10497504,4354192104,10589712,4384285160,81501448,TRUE
TBD,TBD,mobilenetv3_rw,224,75.616,8,8,55.2301171,18100530.95,60353.24844,5.455518,5455518,216594006,5479918,220035978,20293100,TRUE
TBD,TBD,mobilenetv3_large_075,224,73.442,8,8,57.7854406,17301530.68,55934.70265,3.97444,3974440,154566856,3993528,157836240,18597488,TRUE
TBD,TBD,repvgg_a2,224,76.488,8,8,9.20127859,108654549.2,261803.1326,28.16804,28168040,5685346280,28210600,5691743720,48352800,TRUE
TBD,TBD,repvgg_b0,224,75.158,8,8,10.9229395,91526649.86,197501.7097,15.78276,15782760,3397192680,15817960,3403464680,47925920,TRUE
TBD,TBD,repvgg_b1,224,78.37,8,8,4.9676666,201253230.4,532853.9715,57.34692,57346920,13128090600,57415016,13138928616,85008288,TRUE
TBD,TBD,repvgg_b1g4,224,77.608,8,8,5.715049,174934669,394963.8451,39.89796,39897960,8118518760,39966056,8129356776,85008288,TRUE
TBD,TBD,hrnet_w18_small,224,73.934,8,8,19.33513836,51707687.3,109436.5027,13.187464,13187464,1601984968,13187464,1623353160,9081856,TRUE
TBD,TBD,hrnet_w18_small_v2,224,75.094,8,8,16.5603634,60367397.43,140334.2166,15.597464,15597464,2596198676,15597464,2633336848,18169984,TRUE
